URLLength,DomainLength,IsDomainIP,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,HasSuspiciousWord,NoOfSuspiciousWords,HasBrandName,NoOfHyphens,NoOfDots,PathLength,HasLoginKeyword,HasVerifyKeyword,HasAccountKeyword,label
25,17,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,0,0.2,1,0,0,0,0,2,0,0,0,0,1
23,15,0,2,2,0,0,0.0,17,0.7391304347826086,0,0.0,0,0,0,0,0.2608695652173913,1,0,0,0,0,3,0,0,0,0,1
26,19,0,4,1,0,0,0.0,21,0.8076923076923077,0,0.0,0,0,0,0,0.1923076923076923,0,0,0,0,0,2,0,0,0,0,0
40,32,0,3,2,0,0,0.0,34,0.85,0,0.0,0,0,0,0,0.15,1,0,0,0,0,3,0,0,0,0,1
31,23,0,3,1,0,0,0.0,25,0.8064516129032258,0,0.0,0,0,0,0,0.1935483870967742,1,0,0,0,1,2,0,0,0,0,1
34,26,0,2,1,0,0,0.0,18,0.5294117647058824,10,0.2941176470588235,0,0,0,0,0.1764705882352941,0,0,0,0,0,2,1,0,0,0,0
25,18,0,3,1,0,0,0.0,20,0.8,0,0.0,0,0,0,0,0.2,0,0,0,0,0,2,0,0,0,0,0
29,21,0,3,1,0,0,0.0,24,0.8275862068965517,0,0.0,0,0,0,0,0.1724137931034483,1,0,0,0,0,2,0,0,0,0,1
24,16,0,3,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,0,0.2083333333333333,1,0,0,0,0,2,0,0,0,0,1
20,12,0,2,1,0,0,0.0,15,0.75,0,0.0,0,0,0,0,0.25,1,0,0,0,0,2,0,0,0,0,1
20,12,0,2,1,0,0,0.0,15,0.75,0,0.0,0,0,0,0,0.25,1,0,0,0,0,2,0,0,0,0,1
24,16,0,3,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,0,0.2083333333333333,1,0,0,0,0,2,0,0,0,0,1
40,32,0,3,1,0,0,0.0,35,0.875,0,0.0,0,0,0,0,0.125,1,0,0,0,0,2,0,0,0,0,1
62,39,0,2,1,0,0,0.0,51,0.8225806451612904,2,0.032258064516129,0,0,0,0,0.1451612903225806,1,0,0,0,2,3,15,0,0,0,0
85,76,0,3,2,0,0,0.0,68,0.8,9,0.1058823529411764,0,0,0,0,0.0941176470588235,1,0,0,0,1,3,1,0,0,0,0
29,21,0,2,2,0,0,0.0,23,0.7931034482758621,0,0.0,0,0,0,0,0.2068965517241379,1,0,0,0,0,3,0,0,0,0,1
28,20,0,3,1,0,0,0.0,23,0.8214285714285714,0,0.0,0,0,0,0,0.1785714285714285,1,0,0,0,0,2,0,0,0,0,1
78,13,0,2,1,0,0,0.0,63,0.8076923076923077,6,0.0769230769230769,0,0,0,0,0.1153846153846153,1,0,0,0,0,2,57,0,0,0,0
46,37,0,3,2,0,0,0.0,36,0.782608695652174,1,0.0217391304347826,0,0,0,0,0.1956521739130435,1,0,0,0,2,3,1,0,0,0,0
29,21,0,3,1,0,0,0.0,24,0.8275862068965517,0,0.0,0,0,0,0,0.1724137931034483,1,0,0,0,0,2,0,0,0,0,1
21,14,0,2,1,0,0,0.0,14,0.6666666666666666,2,0.0952380952380952,0,0,0,0,0.238095238095238,0,0,0,0,0,2,0,0,0,0,0
63,28,0,2,1,0,0,0.0,54,0.8571428571428571,0,0.0,0,0,0,0,0.1428571428571428,0,0,0,0,2,3,28,0,0,0,0
28,20,0,3,1,0,0,0.0,22,0.7857142857142857,0,0.0,0,0,0,0,0.2142857142857142,1,0,0,0,1,2,0,0,0,0,1
37,28,0,3,1,0,0,0.0,28,0.7567567567567568,3,0.081081081081081,0,0,0,0,0.1621621621621621,1,0,0,0,0,2,1,0,0,0,0
23,16,0,2,1,0,0,0.0,18,0.782608695652174,0,0.0,0,0,0,0,0.217391304347826,0,0,0,0,0,2,0,0,0,0,0
34,25,0,3,1,0,0,0.0,21,0.6176470588235294,6,0.1764705882352941,0,0,0,0,0.2058823529411764,1,0,0,0,1,2,1,0,0,0,0
30,22,0,3,1,0,0,0.0,25,0.8333333333333334,0,0.0,0,0,0,0,0.1666666666666666,1,0,0,0,0,2,0,0,0,0,1
32,24,0,2,1,0,0,0.0,15,0.46875,11,0.34375,0,0,0,0,0.1875,0,0,0,0,0,2,1,0,0,0,0
26,18,0,3,1,0,0,0.0,21,0.8076923076923077,0,0.0,0,0,0,0,0.1923076923076923,1,0,0,0,0,2,0,0,0,0,1
24,16,0,3,1,0,0,0.0,19,0.7916666666666666,0,0.0,0,0,0,0,0.2083333333333333,1,0,0,0,0,2,0,0,0,0,1
29,20,0,3,1,0,0,0.0,23,0.7931034482758621,0,0.0,0,0,0,0,0.2068965517241379,1,0,0,0,0,2,1,0,0,0,0
27,19,0,2,2,0,0,0.0,21,0.7777777777777778,0,0.0,0,0,0,0,0.2222222222222222,1,0,0,0,0,3,0,0,0,0,1
25,17,0,2,2,0,0,0.0,19,0.76,0,0.0,0,0,0,0,0.24,1,0,0,0,0,3,0,0,0,0,1
32,24,0,4,1,0,0,0.0,26,0.8125,0,0.0,0,0,0,0,0.1875,1,0,0,0,1,2,0,0,0,0,1
27,19,0,3,1,0,0,0.0,22,0.8148148148148148,0,0.0,0,0,0,0,0.1851851851851851,1,0,0,0,0,2,0,0,0,0,1
31,23,0,2,1,0,0,0.0,26,0.8387096774193549,0,0.0,0,0,0,0,0.1612903225806451,1,0,0,0,0,2,0,0,0,0,1
42,34,0,3,1,0,0,0.0,37,0.8809523809523809,0,0.0,0,0,0,0,0.119047619047619,1,0,0,0,0,2,0,0,0,0,1
23,15,0,3,1,0,0,0.0,18,0.782608695652174,0,0.0,0,0,0,0,0.217391304347826,1,0,0,0,0,2,0,0,0,0,1
26,18,0,3,1,0,0,0.0,21,0.8076923076923077,0,0.0,0,0,0,0,0.1923076923076923,1,0,0,0,0,2,0,0,0,0,1
